Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
basketbol,A1,I-type (back),كرة السلة,Basketbol seviyorum.,أحب كرة السلة.
kitap,A1,I-type (back),كتاب,Kitap okumayı severim.,أحب قراءة الكتب.
kitap,A1,I-type (back),كتاب,Kitap okumayı seviyorum,أحب قراءة الكتب
kitap,A1,I-type (back),كتاب,Kitap okumayı seviyorum.,أحب قراءة الكتب
balık,A1,I-type (back),سمك,Balık yemeği seviyorum.,أحب طعام السمك.
bisiklet,A2,E-type (front),دراجة,Bisiklet sürmeyi severim.,أحب ركوب الدراجة.
kimya,B2,E-type (front),كيمياء,Kimya dersini seviyorum.,أحب درس الكيمياء
tarih,B1,I-type (back),تاريخ,Tarih dersini seviyorum.,أحب درس التاريخ
kayınanne,A2,Mixed,حماة,Kayınannemi seviyorum,أحب حماتي
jean,A2,E-type (front),جينز,Jean pantolon seviyorum.,أحب بنطلون الجينز
tavuk,A1,I-type (back),دجاج,Tavuk yemeği seviyorum.,أحب أكل الدجاج.
makarna,A2,I-type (back),معكرونة,Makarna seviyorum.,أحب المعكرونة.
turşu,A2,I-type (back),مخلل,Turşu severim.,أحب المخلل.
ızgara,B1,I-type (back),شواية,Izgara et seviyorum.,أحب اللحم المشوي
kırmızı biber,A2,Mixed,فلفل أحمر,Kırmızı biber seviyorum.,أحب الفلفل الأحمر.
biber,A2,E-type (front),فلفل,Biber seviyorum.,أحب الفلفل
meyve,A1,E-type (front),فاكهة,Meyve seviyorum.,أحب الفاكهة.
seyahat,A2,I-type (back),سفر,Seyahat etmeyi seviyorum,أحب السفر
seyahat,B1,E-type (front),سفر,Seyahat etmeyi seviyorum.,أحب السفر
dans,A1,I-type (back),رقص,Dans etmeyi seviyorum.,أحب الرقص.
dans,A2,I-type (back),رقص,Dans etmeyi seviyorum,أحب الرقص
hayvan,A2,I-type (back),حيوان,Hayvanları seviyorum.,أحب الحيوانات
koşu,A1,I-type (back),جري,Koşu yapmayı seviyorum.,أحب الجري.
peynir,A1,E-type (front),جبن,Peynir seviyorum.,أحب الجبن.
peynir,A1,E-type (front),جبن,Peynir seviyorum.,أحب الجبن.
alışveriş,A1,E-type (front),تسوق,Alışveriş yapmayı seviyorum.,أحب التسوق.
oregano,B1,I-type (back),أوريجانو,Oregano severim.,أحب الأوريجانو.
mor,A2,I-type (back),بنفسجي,Mor çiçekler seviyorum.,أحب الأزهار البنفسجية
müzik,A1,E-type (front),موسيقى,Müzik dinlemeyi seviyorum.,أحب الاستماع للموسيقى.
müzik,A2,E-type (front),موسيقى,Müzik dinlemeyi seviyorum.,أحب الاستماع إلى الموسيقى
kafe,A2,I-type (back),مقهى,Kafede oturuyorum,أجلس في المقهى
koltuk,B1,I-type (back),كرسي مريح,Koltukta oturuyorum.,أجلس في الكرسي المريح
sınıf,A1,I-type (back),فصل دراسي,Sınıfta oturuyorum.,أجلس في الفصل.
bahçe,A1,I-type (back),حديقة,Bahçede oturuyorum.,أجلس في الحديقة.
ev,A1,E-type (front),بيت,Evde oturuyorum.,أجلس في البيت.
oturmak,A1,I-type (back),يجلس,Sandalyede oturuyorum.,أجلس على الكرسي.
sandalye,A1,I-type (back),كرسي,Sandalyede oturuyorum.,أجلس على الكرسي.
sandalye,A2,E-type (front),كرسي,Sandalyede oturuyorum.,أجلس على الكرسي
koşmak,A2,I-type (back),يجري,Her sabah koşuyorum.,أجري كل صباح
koşmak,A1,I-type (back),يجري,Parkta koşuyorum.,أجري في الحديقة.
vitamin,A2,E-type (front),فيتامين,Vitamin alıyorum.,أتناول الفيتامين.
ilaç,A1,I-type (back),دواء,İlaç içiyorum.,أتناول الدواء.
kahvaltı yapmak,A1,I-type (back),يتناول الإفطار,Her sabah kahvaltı yapıyorum.,أتناول الإفطار كل صباح.
spor salonu,A2,I-type (back),صالة رياضية,Spor salonunda egzersiz yapıyorum.,أتمرن في الصالة الرياضية.
sağlıklı,A2,I-type (back),صحي,Sağlıklı besleniyorum.,أتغذى بشكل صحي.
yavaş,A1,I-type (back),بطيء,Yavaş yavaş öğreniyorum.,أتعلم ببطء.
gitar,A2,I-type (back),غيتار,Gitar öğreniyorum.,أتعلم الغيتار.
piyano,B1,I-type (back),بيانو,Piyano çalmayı öğreniyorum.,أتعلم العزف على البيانو
dans,B1,I-type (back),رقص,Dans etmeyi öğreniyorum.,أتعلم الرقص
internet,A1,E-type (front),إنترنت,İnternete bağlanıyorum.,أتصل بالإنترنت.
cumartesi,A1,E-type (front),السبت,Cumartesi alışveriş yapıyorum.,أتسوق يوم السبت.
merak etmek,B1,E-type (front),يتساءل/يفضل,Sonucu merak ediyorum.,أتساءل عن النتيجة
heyecanlanmak,B2,I-type (back),يتحمس,Tatil için heyecanlanıyorum.,أتحمس للعطلة
diyet,A2,E-type (front),حمية,Diyet yapıyorum.,أتبع حمية غذائية.
haber,A2,I-type (back),أخبار,Haberleri takip ediyorum,أتابع الأخبار
baba,A1,I-type (back),أب,Babam işte çalışıyor.,أبي يعمل في الوظيفة.
baba,A1,I-type (back),أب,Babam işte çalışıyor.,أبي يعمل في العمل.
etti,A1,E-type (front),مفردة تركية,Babam etti veriyor.,أبي محتوى الجملة بالعربية
evüm,A1,E-type (front),مفردة تركية,Babam evüm veriyor.,أبي محتوى الجملة بالعربية
il,A1,E-type (front),مفردة تركية,Babam il veriyor.,أبي محتوى الجملة بالعربية
etır,A1,Mixed/Exception,مفردة تركية,Babam etır veriyor.,أبي محتوى الجملة بالعربية
sulu,A1,E-type (back),مفردة تركية,Babam sulu veriyor.,أبي محتوى الجملة بالعربية
beş,A1,E-type (front),مفردة تركية,Babam beş veriyor.,أبي محتوى الجملة بالعربية
ders,A1,E-type (front),مفردة تركية,Babam ders veriyor.,أبي محتوى الجملة بالعربية
saha,A1,E-type (back),مفردة تركية,Babam saha veriyor.,أبي محتوى الجملة بالعربية
olüm,A1,Mixed/Exception,مفردة تركية,Babam olüm veriyor.,أبي محتوى الجملة بالعربية
çıkı,A1,E-type (back),مفردة تركية,Babam çıkı veriyor.,أبي محتوى الجملة بالعربية
doğu,A1,E-type (back),مفردة تركية,Babam doğu veriyor.,أبي محتوى الجملة بالعربية
baharatlamak,B2,I-type (back),يبهر,Yemeği baharatlıyorum.,أبهر الطعام
sözlük,A2,E-type (front),قاموس,Sözlükten bakıyorum.,أبحث في القاموس.
iş,A1,E-type (front),عمل,İş arıyorum.,أبحث عن عمل
eğlence,A2,E-type (front),تسلية,Eğlence arıyorum,أبحث عن التسلية
yağmur,A2,I-type (back),مطر,Yağmur yağıyor.,إنها تمطر
kar,A2,I-type (back),ثلج,Kar yağıyor.,إنها تثلج
güzel,A1,E-type (front),جميل,Güzel bir gün.,إنه يوم جميل.
yaşlı,A1,I-type (back),مسن,Yaşlı bir adamdır.,إنه رجل مسن.
iyi,A1,E-type (front),جيد,İyi bir insan.,إنه إنسان جيد.
parmak,A2,I-type (back),إصبع,Parmağım kesildi.,إصبعي مجروح
parmak,A1,I-type (back),إصبع,Uzun parmak,إصبع طويل
hafta,A1,I-type (back),أسبوع,Bir hafta tatil,إجازة لمدة أسبوع
doğru,A1,I-type (back),صحيح,Doğru cevap,إجابة صحيحة
fare,A2,I-type (back),فأرة حاسوب,Bilgisayar faresi kırıldı.,انكسرت فأرة الحاسوب.
fincan,B1,I-type (back),فنجان,Çay fincanı kırıldı.,انكسر فنجان الشاي
dal,A2,I-type (back),غصن,Ağacın dalı kırıldı,انكسر غصن الشجرة
direksiyon,B2,E-type (front),مقود,Direksiyon kırıldı.,انكسر المقود
dal,B1,I-type (back),غصن,Dal kırıldı.,انكسر الغصن.
tabak,A1,I-type (back),طبق,Tabak kırıldı.,انكسر الطبق.
elektrik,B1,E-type (front),كهرباء,Elektrik kesildi.,انقطعت الكهرباء
kesmek,A2,E-type (front),بالقطع,Bağlantı kesildi.,انقطع الاتصال.
ağ,B1,I-type (back),شبكة,Ağ bağlantısı kesildi.,انقطع الاتصال بالشبكة
elektrik,B1,E-type,كهرباء,Elektrik kesintisi,انقطاع الكهرباء
teker,B1,E-type (front),عجلة,Tekerlek patladı.,انفجر الإطار
basınç,B2,I-type (back),ضغط,Hava basıncı düştü,انخفض ضغط الهواء
euro,A2,E-type (front),يورو,Euro düştü.,انخفض اليورو
diş macunu,A2,Mixed,معجون أسنان,Diş macunu bitti.,انتهى معجون الأسنان.
kalem,A1,E-type (front),قلم,Kalemim bitti.,انتهى قلمي.
kalem,A1,E-type (front),قلم,Kalemim bitti.,انتهى قلمي
benzin,B1,E-type (front),بنزين,Benzin bitti.,انتهى البنزين
görev,B1,I-type (back),واجب/مهمة,Görevim bitti.,انتهت مهمتي.
yemekhane,A2,Mixed,قاعة الطعام,Yemekhanede sıra bekledik.,انتظرنا في الطابور في قاعة الطعام.
otuz,A1,I-type (back),ثلاثون,Otuz dakika bekledim.,انتظرت ثلاثين دقيقة.
beş,A1,E-type (front),خمسة,Beş dakika bekle.,انتظر خمس دقائق.
dakika,A1,I-type (back),دقيقة,Beş dakika bekle,انتظر خمس دقائق
saniye,A2,E-type (front),ثانية,Bir saniye bekle,انتظر ثانية واحدة
milletvekili,C1,E-type (front),نائب,Milletvekili seçimi yakın.,انتخابات النواب قريبة.
yavaş,A1,I-type (back),بطيء,Yavaş yürü,امش ببطء
yaşlı,A1,I-type (back),كبير السن,Yaşlı kadın,امرأة كبيرة السن
gün,A1,E-type (front),يوم,Bugün güzel bir gün.,اليوم يوم جميل.
yat,B2,I-type (back),يخت,Yat çok pahalı.,اليخت غالي جداً.
kase,A1,I-type (back),وعاء,Kase dolu.,الوعاء ممتلئ.
kakule,B2,I-type (back),هيل,Kakule pahalı baharat.,الهيل توابل غالية.
nem,B2,E-type,رطوبة,Hava çok nemli,الهواء رطب جداً
mimari,C1,E-type (front),معمارية,Mimari çok güzel.,الهندسة المعمارية جميلة جداً.
çalışır,A2,I-type (back),يعمل,Telefon çalışır,الهاتف يعمل
telefon,A1,I-type (back),هاتف,Telefon çalıyor.,الهاتف يرن.
telefon,A1,E-type (front),هاتف,Telefon çalıyor.,الهاتف يرن.
telefon,A1,E-type (front),هاتف,Telefon çalıyor,الهاتف يرن
telefon,A1,I-type (back),هاتف,Telefon çalıyor.,الهاتف يرن
nehir,A1,E-type (front),نهر,Nehir çok temiz.,النهر نظيف جداً.
nehir,A1,E-type (front),نهر,Nehir çok temiz.,النهر نظيف جداً.
kaplan,A2,I-type (back),نمر,Kaplan avlanıyor.,النمر يصطاد.
kaplan,B1,I-type (back),نمر,Kaplan çok hızlı koşar.,النمر يجري بسرعة كبيرة
kaplan,A2,I-type (back),نمر,Kaplan çok güçlü bir hayvandır.,النمر حيوان قوي جداً.
tünel,B2,E-type (front),نفق,Tünel karanlık.,النفق مظلم.
arı,B1,I-type (back),نحلة,Arılar bal yapar.,النحل يصنع العسل
yıldız,A1,I-type (back),نجمة,Yıldızlar parlıyor.,النجوم تلمع.
yıldız,A2,I-type (back),نجمة,Yıldızlar parlıyor.,النجوم تلمع.
yıldız,A1,I-type (back),نجمة,Yıldızlar parlıyor,النجوم تتلألأ
nabız,B2,I-type (back),نبض,Nabız hızlı,النبض سريع
garson,A2,I-type (back),نادل,Garson siparişi aldı.,النادل أخذ الطلب.
minibüs,A2,Mixed,ميني باص,Minibüs dolu.,الميني باص ممتلئ.
meydan,B1,I-type (back),ميدان,Meydan çok kalabalık.,الميدان مزدحم جداً.
mojito,B2,I-type (back),موهيتو,Mojito yazlık içecek.,الموهيتو مشروب صيفي.
virgin mojito,B2,Mixed,موهيتو بدون كحول,Virgin mojito alkol içermez.,الموهيتو بدون كحول لا يحتوي على الكحول.
web sitesi,B1,E-type (front),موقع إلكتروني,Web sitesi çok güzel.,الموقع الإلكتروني جميل جداً.
muz,A1,I-type (back),موز,Muz çok tatlı.,الموز حلو جداً.
muz,A1,I-type (back),موز,Muz çok tatlı.,الموز حلو جداً.
ölüm,B2,E-type (front),موت,Ölüm kaçınılmaz.,الموت لا مفر منه
mühendis,A2,E-type (front),مهندس,Mühendis köprü tasarlıyor.,المهندس يصمم جسراً.
mühendis,A2,E-type (front),مهندس,Mühendis proje çiziyor,المهندس يرسم المشروع
mühendis,A2,Mixed,مهندس,Mühendis proje hazırlıyor.,المهندس يحضر مشروعاً.
ders programı,B2,E-type (front),منهاج,Ders programı ağır.,المنهاج ثقيل
balon,B2,I-type (back),منطاد,Balon havada uçuyor.,المنطاد يطير في الهواء.
hemşire,A1,E-type (front),ممرضة,Hemşire çok nazik.,الممرضة لطيفة جداً.
hemşire,A2,E-type (front),ممرضة,Hemşire çok nazik.,الممرضة لطيفة جداً.
hemşire,B1,E-type (front),ممرضة,Hemşire çok nazik.,الممرضة لطيفة جداً
hemşire,A2,E-type (front),ممرضة,Hemşire yardım ediyor,الممرضة تساعد
boks,A2,I-type (back),ملاكمة,Boks tehlikeli spordur.,الملاكمة رياضة خطيرة.
magnezyum,C1,E-type (front),مغنيسيوم,Magnezyum önemli,المغنيسيوم مهم
şarkıcı,A1,I-type (back),مغني,Şarkıcı güzel söylüyor.,المغني يغني بجمال.
tahta,A1,I-type (back),سبورة,Öğretmen tahtaya yazıyor.,المعلم يكتب على السبورة.
öğretmen,A1,E-type (front),معلم,Öğretmen ders anlatıyor.,المعلم يشرح الدرس.
öğretmen,A1,E-type (front),معلم,Öğretmen ders anlatıyor.,المعلم يشرح الدرس.
yağmur,A1,I-type (back),مطر,Yağmur yağıyor,المطر ينزل
yağmur,A1,I-type (back),مطر,Yağmur yağıyor.,المطر يتساقط.
yağmur,A1,I-type (back),مطر,Yağmur yağıyor.,المطر يتساقط.
fotoğrafçı,B1,I-type (back),مصور,Fotoğrafçı düğünü çekti.,المصور صور الزفاف.
lamba,A2,I-type (back),مصباح,Lamba yanıyor.,المصباح مضاء
güreş,A2,E-type (front),مصارعة,Güreş eski bir spordur.,المصارعة رياضة قديمة.
çiftçi,A2,E-type (front),مزارع,Çiftçi tarla ekiyor.,المزارع يزرع الحقل.
hasta,A1,I-type (back),مريض,Hasta çok yorgun.,المريض متعب جداً.
hasta,A1,I-type (back),مريض,Hasta çok yorgun,المريض متعب جداً
hasta,A2,I-type (back),مريض,Hasta çok yorgun.,المريض متعب جداً
helikopter,B2,E-type (front),مروحية,Helikopter uçuyor.,المروحية تطير.
hastalık,A2,I-type (back),مرض,Hastalık bulaşıcı,المرض معدي
rehber,A2,E-type (front),مرشد,Rehber grubu yönlendirdi.,المرشد وجه المجموعة.
oval,B2,I-type (back),بيضاوي,Oval ayna güzel.,المرآة البيضاوية جميلة
müdür,A2,E-type (front),مدير,Müdür toplantıda.,المدير في الاجتماع.
müdür,B1,E-type (front),مدير,Müdür toplantıda.,المدير في الاجتماع
okyanus,B1,I-type (back),محيط,Büyük okyanus,المحيط الكبير
kapalı,A2,I-type (back),مغلق,Dükkân kapalı.,المحل مغلق
avukat,B2,I-type (back),محامي,Avukat müvekkilini savunuyor.,المحامي يدافع عن موكله.
avukat,A2,I-type (back),محامي,Avukat mahkemede.,المحامي في المحكمة.
avukat,A2,I-type (back),محامي,Avukat davayı kazandı.,المحامي ربح القضية.
muhasebeci,A2,E-type (front),محاسب,Muhasebeci hesap yapıyor,المحاسب يحسب الحسابات
muhasebeci,B1,Mixed,محاسب,Muhasebeci hesapları tutuyor.,المحاسب يحتفظ بالحسابات.
manyetik,B2,E-type,مغناطيسي,Manyetik alan,المجال المغناطيسي
çevirmen,B1,E-type (front),مترجم,Çevirmen metni çevirdi.,المترجم ترجم النص.
müze,B1,E-type (front),متحف,Müze çok ilginç.,المتحف مثير للاهتمام جداً
kapalı,A1,I-type (back),مغلق,Mağaza kapalı.,المتجر مغلق.
bina,A1,I-type (back),مبنى,Bina çok yüksek.,المبنى عالي جداً.
keçi,E-type (front),E-type (front),ماعز,Keçi zıplıyor.,الماعز يقفز.
keçi,B1,E-type (front),ماعز,Keçi dağda yaşar.,الماعز يعيش في الجبل
sıcak,A1,I-type (back),حار,Su çok sıcak,الماء حار جداً
soğuk,A1,I-type (back),بارد,Su çok soğuk.,الماء بارد جداً.
soğuk,A1,I-type (back),بارد,Su çok soğuk.,الماء بارد جداً.
gece,A1,E-type (front),ليل,Gece çok sessiz.,الليل هادئ جداً.
gece,A1,E-type (front),ليل,Gece çok karanlık.,الليل مظلم جداً.
renk,A1,E-type,لون,Mavi renk,اللون الأزرق
dolu,A1,I-type (back),مملوء,Bardak su dolu.,الكوب مملوء بالماء.
kilise,B1,E-type (front),كنيسة,Kilise çok eski.,الكنيسة قديمة جداً
havra,C1,I-type (back),كنيس,Havra tarihi bir yapı.,الكنيس مبنى تاريخي
keman,A2,E-type (front),كمان,Keman çok güzel ses çıkarır.,الكمان يصدر صوتاً جميلاً.
köpek,A1,I-type (back),كلب,Köpek havlıyor.,الكلب ينبح.
kütle,B2,E-type (front),kütle,Atomik kütle,الكتلة الذرية
çiğ köfte,B1,Mixed,كبة نيئة,Çiğ köfte acı.,الكبة النيئة حارة.
kahve,A1,I-type (back),قهوة,Kahve çok sıcak.,القهوة ساخنة جداً.
kahve,A1,I-type (back),قهوة,Kahve çok sıcak.,القهوة ساخنة جداً.
ay,A1,I-type (back),قمر/شهر,Ay çok parlak.,القمر مشرق جداً.
ay,A1,I-type (back),قمر,Ay çok güzel.,القمر جميل جداً.
ay,A1,I-type (back),قمر,Ay çok güzel,القمر جميل جداً
kedi,A1,E-type (front),قطة,Kedi çok sevimli.,القطة لطيفة جداً.
kedi,A1,E-type (front),قطة,Kedi uyuyor.,القطة تنام
asır,B2,I-type (back),قرن,Yirmi birinci asır,القرن الحادي والعشرون
tarçın,A2,I-type (back),قرفة,Tarçın çok güzel.,القرفة جميلة جداً.
maymun,B1,I-type (back),قرد,Maymun ağaçta oynuyor.,القرد يلعب على الشجرة
yelkenli,B2,E-type (front),قارب شراعي,Yelkenli denizde.,القارب الشراعي في البحر.
film,A2,E-type (front),فيلم,Film çok güzeldi.,الفيلم كان جميلاً جداً
fil,A1,E-type (front),فيل,Fil çok büyük.,الفيل كبير جداً.
fil,A2,E-type (front),فيل,Fil çok büyük.,الفيل كبير جداً.
fil,A2,E-type (front),فيل,Fil çok büyük.,الفيل كبير جداً
fizik,B2,E-type (front),فيزياء,Fizik çok zor.,الفيزياء صعبة جداً
pembe,A2,E-type (front),وردي,Pembe elbise güzel.,الفستان الوردي جميل
fren,B1,E-type (front),فرامل,Fren çalışmıyor.,الفرامل لا تعمل
kelebek,B1,E-type (front),فراشة,Kelebek çiçekten çiçeğe uçuyor.,الفراشة تطير من زهرة إلى زهرة
frappé,B2,I-type (back),فرابيه,Frappé çok serinletici.,الفرابيه منعش جداً.
kız,A1,I-type (back),فتاة,Kız kitap okuyor.,الفتاة تقرأ كتاباً.
fare,A2,I-type (back),فأر,Fare koşuyor.,الفأر يجري.
meyve,A2,E-type (front),فاكهة,Meyve çok tatlı.,الفاكهة حلوة جداً.
bulut,A1,I-type (back),غيمة,Bulutlar geliyor,الغيوم تأتي
çamaşır makinesi,B1,Mixed,غسالة ملابس,Çamaşır makinesi çalışıyor.,الغسالة تعمل.
gaz,A2,I-type (back),غاز,Doğalgaz,الغاز الطبيعي
bayram,B1,I-type (back),عيد,Bayram geliyor.,العيد قادم
komisyon,C1,I-type (back),عمولة,Komisyon çok yüksek.,العمولة مرتفعة جداً
ameliyat,B1,I-type (back),عملية جراحية,Ameliyat başarılı geçti,العملية الجراحية نجحت
bilim,B2,E-type (front),علم,Bilim çok önemli.,العلم مهم جداً.
kemo,C1,E-type (front),كيماوي,Kemo tedavisi,العلاج الكيماوي
radyo,C1,I-type (back),إشعاعي,Radyo terapi,العلاج الإشعاعي
tedavi,B1,I-type (back),علاج,Tedavi uzun sürdü,العلاج استغرق وقتاً طويلاً
bal,A1,I-type (back),عسل,Bal çok faydalı.,العسل مفيد جداً.
bal,A1,I-type (back),عسل,Bal çok tatlı.,العسل حلو جداً.
bal,A1,I-type (back),عسل,Bal çok tatlı.,العسل حلو جداً.
adalet,C1,E-type (front),عدالة,Adalet çok önemli.,العدالة مهمة جداً.
işçi,A1,E-type (front),عامل,İşçi çok çalışıyor,العامل يعمل كثيراً
fırtına,B1,I-type (back),عاصفة,Fırtına geliyor,العاصفة تأتي
kuş,A2,I-type (back),طائر,Kuşlar uçuyor.,الطيور تطير
pilot,A2,I-type (back),طيار,Pilot uçağı uçuruyor.,الطيار يقود الطائرة.
kötü,A1,E-type (front),سيء,Kötü hava var.,الطقس سيء.
kötü,A1,I-type (back),سيء,Hava bugün kötü.,الطقس سيء اليوم.
nemli,B2,E-type (front),رطب,Hava çok nemli.,الطقس رطب جداً.
ılık,B1,I-type (back),دافئ,Hava ilık.,الطقس دافئ
sıcak,A1,I-type (back),حار,Hava çok sıcak.,الطقس حار جداً.
sıcak,A1,I-type (back),حار,Hava çok sıcak.,الطقس حار جداً.
sıcak,A1,I-type (back),حار,Hava çok sıcak.,الطقس حار جداً.
hava,A1,I-type (back),طقس,Hava çok güzel.,الطقس جميل جداً.
hava,A2,I-type (back),طقس,Hava çok güzel.,الطقس جميل جداً.
bugün,A1,E-type (front),اليوم,Bugün güzel hava.,الطقس جميل اليوم.
kuru,A2,I-type (back),جاف,Hava çok kuru.,الطقس جاف جداً.
soğuk,A1,I-type (back),بارد,Hava çok soğuk.,الطقس بارد جداً.
soğuk,A1,I-type (back),بارد,Hava çok soğuk,الطقس بارد جداً
çocuk,A1,I-type (back),طفل,Çocuk parkta oynuyor.,الطفل يلعب في الحديقة.
yemek,A1,E-type (front),طعام,Yemek çok lezzetli.,الطعام لذيذ جداً.
yol,A2,I-type (back),طريق,Yol çok dar.,الطريق ضيق جداً.
eğri,B2,E-type (front),منحني,Eğri yol tehlikeli.,الطريق المنحني خطير.
doktor,A1,I-type (back),طبيب,Doktor hastayı muayene ediyor.,الطبيب يفحص المريض.
doktor,A1,I-type (back),طبيب,Doktor muayene ediyor,الطبيب يفحص
doktor,A2,I-type (back),طبيب,Doktor muayene ediyor.,الطبيب يفحص
veteriner,B1,E-type (front),طبيب بيطري,Veteriner hayvanı tedavi ediyor.,الطبيب البيطري يعالج الحيوان.
aşçı,A1,I-type (back),طباخ,Aşçı lezzetli yemek yapıyor.,الطباخ يطبخ طعاماً لذيذاً.
aşçı,A2,I-type (back),طباخ,Aşçı yemek pişiriyor.,الطباخ يطبخ الطعام.
uçak,A1,I-type (back),طائرة,Uçak uçuyor.,الطائرة تطير.
uçak,A2,I-type (back),طائرة,Uçak geç kaldı.,الطائرة تأخرت
kuş,A1,I-type (back),طائر,Kuş uçuyor.,الطائر يطير.
öğrenci,A1,E-type (front),طالب,Öğrenci kitap okuyor.,الطالب يقرأ كتاباً.
öğrenci,A1,E-type (front),طالب,Öğrenci kitap okuyor.,الطالب يقرأ كتاباً.
enerji,A2,E-type (front),طاقة,Güneş enerjisi,الطاقة الشمسية
yazıcı,B1,I-type (back),طابعة,Yazıcı bozuldu.,الطابعة معطلة
sis,B1,E-type,ضباب,Sis çok yoğun,الضباب كثيف جداً
eczacı,B1,I-type (back),صيدلي,Eczacı ilaç verdi.,الصيدلي أعطى الدواء.
avcılık,C1,I-type (back),صيد,Avcılık yasaktır.,الصيد محظور
acı sos,A2,Mixed,صوص حار,Acı sos çok yakıyor.,الصوص الحار يحرق جداً.
ses,A1,E-type (front),صوت,Ses çok yüksek.,الصوت عالي جداً.
damat,A2,I-type (back),صهر/عريس,Damat iyi bir insan,الصهر إنسان جيد
sağlık,A2,I-type (back),صحة,Sağlık çok önemli.,الصحة مهمة جداً.
gazeteci,B1,E-type (front),صحافي,Gazeteci haber yazıyor.,الصحافي يكتب الخبر.
güneş,A1,E-type (front),شمس,Güneş parlıyor.,الشمس تشرق.
güneş,A1,E-type (front),شمس,Güneş parlıyor.,الشمس تشرق.
güneş,A1,E-type (front),شمس,Güneş parlıyor,الشمس تشرق
güneş,A2,E-type (front),شمس,Güneş parlıyor.,الشمس تشرق
turuncu,B1,I-type (back),برتقالي,Turuncu güneş batıyor.,الشمس البرتقالية تغرب
polis,A1,I-type (back),شرطي,Polis trafik kontrol ediyor.,الشرطي يراقب المرور.
polis,A1,I-type (back),شرطي,Polis suçluyu yakaladı.,الشرطي أمسك بالمجرم.
ağaç,A1,I-type (back),شجرة,Ağaç çok büyük.,الشجرة كبيرة جداً.
ağaç,A1,I-type (back),شجرة,Ağaç çok büyük.,الشجرة كبيرة جداً.
ağaç,A2,I-type (back),شجرة,Ağaç çok yüksek.,الشجرة عالية جداً.
kış,A2,E-type (front),شتاء,Kış çok soğuk.,الشتاء بارد جداً.
kış,A1,E-type (front),شتاء,Kış çok soğuk,الشتاء بارد جداً
ekran,A2,I-type (back),شاشة,Ekran çok büyük.,الشاشة كبيرة جداً.
sokak,A2,I-type (back),شارع,Sokak çok sessiz.,الشارع هادئ جداً.
kamyon,A2,I-type (back),شاحنة,Kamyon yüklü.,الشاحنة محملة.
kamyon,B1,I-type (back),شاحنة,Kamyon yüklendi.,الشاحنة محملة
pahalı,A1,I-type (back),غالي,Araba çok pahalı.,السيارة غالية جداً.
balık,A1,I-type (back),سمك,Balık yüzüyor.,السمك يسبح.
sumak,B1,I-type (back),سماق,Sumak ekşi tatlı.,السماق حامض حلو.
gök,A2,I-type (back),سماء,Gök çok mavi.,السماء زرقاء جداً.
gök,B1,I-type (back),سماء,Gök çok mavi.,السماء زرقاء جداً.
mavi,A1,I-type (back),أزرق,Mavi gökyüzü çok güzel.,السماء الزرقاء جميلة جداً.
mavi,A1,I-type,أزرق,Mavi gökyüzü,السماء الزرقاء
bıçak,A2,I-type (back),سكين,Bıçak çok keskin.,السكين حادة جداً
bıçak,A1,I-type (back),سكين,Bıçak keskin.,السكين حاد.
sekreter,A2,E-type (front),سكرتير,Sekreter telefonu cevapladı.,السكرتير أجاب على الهاتف.
tavan,A1,I-type (back),سقف,Tavan yüksek.,السقف عالي.
gemi,A2,E-type (front),سفينة,Gemi limanda.,السفينة في الميناء.
büyükelçi,C1,E-type (front),سفير,Büyükelçi toplantıda.,السفير في الاجتماع.
fiyat,A2,I-type (back),سعر,Fiyat çok yüksek.,السعر مرتفع جداً
fiyat,A1,I-type (back),سعر,Fiyat çok pahalı.,السعر غالي جداً.
öksürük,B1,E-type (front),سعال,Öksürük durmuyor,السعال لا يتوقف
halı,A2,I-type (back),سجادة,Halı çok güzel.,السجادة جميلة جداً
şoför,A2,E-type (front),سائق,Şoför dikkatli sürüyor.,السائق يقود بحذر.
çiçek,A1,E-type (front),زهرة,Çiçek çok güzel.,الزهرة جميلة جداً.
çiçek,A1,E-type (front),زهرة,Çiçek çok güzel.,الزهرة جميلة جداً.
çiçek,A2,E-type (front),زهرة,Çiçek çok güzel.,الزهرة جميلة جداً.
düğün,B1,E-type (front),زفاف,Düğün çok güzel.,الزفاف جميل جداً
safran,B2,I-type (back),زعفران,Safran çok değerli.,الزعفران ثمين جداً.
köşe,A2,E-type,زاوية,Sağ köşe,الزاوية اليمنى
fesleğen,B1,E-type (front),ريحان,Fesleğen kokuyor.,الريحان له رائحة.
rüzgar,A2,E-type,ريح,Rüzgar esiyor,الريح تهب
sporcu,A2,I-type (back),رياضي,Sporcu antrenman yapıyor.,الرياضي يتدرب.
rüzgar,B1,E-type (front),رياح,Rüzgar çok sert.,الرياح قوية جداً.
rüzgar,A1,E-type (front),رياح,Rüzgar esiyor.,الرياح تهب.
rüzgar,A1,E-type (front),رياح,Rüzgar esiyor.,الرياح تهب.
manyetik,B2,E-type (front),مغناطيسي,Manyetik rezonans,الرنين المغناطيسي
ressam,A2,I-type (back),رسام,Ressam resim yapıyor.,الرسام يرسم لوحة.
